Class Index,Description
4,SEATTLE Microsoft launches Web search technology today that it hopes will give it a share of the market dominated by Google. The new search engine will initially be available only on a special test site.
4,"Microsoft has announced general availability of Windows-Based Hosting Version 3.0, which is a platform for service providers to sell hosted offerings."
3,"Conor MedSystems Inc., a maker of drug-coated coronary stents, on Wednesday filed to sell \$70 million worth of common shares in its initial public offering, according to a Securities and Exchange Commission statement."
4,"He said his company #39;s Windows XP operating system update, launched last month by Bill Gates, was the  quot;first big line we have drawn in the sand quot; to combat security breaches and spam."
2,There were several moments during the Felix Trinidad/Ricardo Mayorga press conference at Madison Square Garden on Wednesday that it seemed possible there would be a deterioration 
4,washingtonpost.com - Microsoft Corp.'s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the nation is causing a major headache for some universities.
2,World number two Amelie Mauresmo has pulled out of the Zurich Challenge tennis tournament after failing to recover from an ongoing thigh injury.
1, LONDON (Reuters) - Britain's Tony Blair flew to Khartoum on  Wednesday as the most senior yet in a parade of Western  government figures seeking to pressure Sudanese officials over  violence in Darfur province.
3,"3Com Corp., the Marlborough maker of computer-networking equipment, said it agreed to buy a Texas maker of antihacker security systems, TippingPoint Technologies Inc., for \$430 million in cash. TippingPoint makes so-called intrusion-prevention systems for businesses, government agencies, colleges and universities, and telecommunications service providers and systems. TippingPoint has 125 employees at its Austin headquarters. The \$47-per-share purchase price offered owners ..."
3,"Dr. Jerry Avorn brings convincing data and sharp analysis to ''Powerful Medicines, quot; his timely, challenging appraisal of health policy."
4,"Less than two weeks after US District Judge Vaughn Walker gave Oracle an important victory over the Justice Department, PeopleSoft Inc."
3,"At least 100 Delta Air Lines pilots are expected to retire effective Wednesday, the start date for a 32.5 percent pay cut agreed to in a \$1 billion concessions package to help save the nation's third largest air carrier from bankruptcy."
4,"Armed with tagging devices and satellite tracking, marine scientists follow hundreds of sea animals around the Pacific Ocean, monitoring everything from location and depth to speed and water temperature. By Randy Dotinga."
3,"Australia #39;s main airline carrier, Qantas, says it won #39;t appeal the New Zealand High Court #39;s rejection of a proposed alliance with Air New Zealand."
1,"AFP - Two Islamic militants were killed in a fierce gunbattle with security forces near a stadium in Kashmir where Indian Prime Minister Manmohan Singh was later due to speak, an army spokesman said."
2,"ATHENS: Over the past 13 years, they talked about the team, about being teammates. The members of the US womens soccer team talked about little kids who needed strong female role models - women athletes to look up to, emulate."
4,Hitachi Global Storage Technologies (HGST) this week said it will ship a line of Serial ATA hard drives designed for notebook usage in Q4.
4,"Covert use of a hardware keystroke logger does not violate federal wiretap law, court rules."
1, KABUL (Reuters) - The chief rival to Afghan President Hamid  Karzai in last week's historic presidential election said on  Monday he and several other candidates had dropped a plan to  boycott the election process.
1,AFP - Commonwealth Secretary General Don McKinnon emerged from a meeting with Pervez Musharraf saying Pakistan's parliament and judiciary should solve a row over the president's efforts to remain army chief.
2,"AP - Reaction to the suspensions handed down by NBA commissioner David Stern on Sunday, two days after a brawl between the Indiana Pacers and Detroit Pistons:"
3,Commercial bank North Fork Bancorp Inc. said Friday that it agreed to sell manufactured housing finance unit GreenPoint Credit LLC to Green Tree Servicing LLC.
3,More than six newspaper companies have received letters from the Securities and Exchange Commission seeking information about their circulation practices.
1,Reuters - Al Qaeda ally Abu Musab al-Zarqawi's\militant group threatened to behead a Japanese hostage it said\worked with Japan's forces in Iraq if Tokyo did not withdraw\its troops from the country within 48 hours.
1,"LJUBLJANA, Slovenia--After more than a decade of almost continual rule, Slovenia #39;s center-left Liberal Democrats face a spell in opposition in the wake of a surprise defeat in the parliamentary elections on 3 October."
4,"Voiceglo, a subsidiary of TheGlobe.com, has released a test version of an application designed to create interoperability among four major consumer instant message (IM) networks."
2,"Reggie Merriweather ran for a career-high 114 yards and three touchdowns on Saturday night, including a 2-yard score in overtime for Clemson, as it sent Miami to its second loss of the season, 24-17."
3,A review of its Navy Marine Corps Intranet (NMCI) contract has forced services provider Electronic Data Systems (EDS) to again postpone its financial report for its third fiscal quarter.
3,"AFP - With the rise of the euro fast becoming a threat to economic recovery in the 12-country eurozone, calls are growing for the European Central Bank to clip the single currency's wings, either by direct intervention or a cut in interest rates."
1,"A Venezuelan air force plane carrying three crew members and 22 passengers has crashed in bad weather in central Venezuela, killing all on board, an aviation official said Sunday."
2,These are some of the questions waiting to be answered heading into this weekend #39;s first race of NASCAR #39;s inaugural Chase for the Championship.
4,Adobe Reader simply allowed viewing capabilities in past versions. But the upcoming release lets users make comments or editing changes.
2,"Roger Federer posted a huge win in the howling wind, beating two-time champion Andre Agassi 6-3, 2-6, 7-5, 3-6, 6-3."
2,"CORVALLIS, Ore. -- For the first time in his career, Dominique Byrd caught two touchdown passes in a game. It was barely enough for USC, which had to overcome a 13-point deficit to score a 28-20 win over Oregon State Saturday night at Reser Stadium."
3,"US Treasury Secretary John W. Snow began a European tour yesterday, aiming to highlight the need for stronger economic growth in Europe as Washington tries to blunt criticism over massive "
2,"The last time Supah Blitz raced at Calder he was beaten a dozen lengths in the Memorial Day Handicap. When he returns Saturday for the \$200,000 Carl G. Rose Handicap, the onetime local"
3,"Australias Amcor ousts CEO amid cartel probe Amcor, the worlds top maker of plastic bottles, ousted its respected chief executive after finding some staff may have acted illegally to drive up box prices, knocking 8 percent off its shares."
4,"Description: Daisuke Inoue, the inventor of karaoke, was awarded the 2004 Ig Nobel Peace Prize last night,  quot;for inventing karaoke, thereby providing an entirely new way for people to learn to tolerate each other."
2,Reuters - Julius Jones scored on a 17-yard\touchdown run with 37 seconds left as the Dallas Cowboys scored\two touchdowns in the last two minutes to stun the Seattle\Seahawks 43-39 in the National Football League Monday.
4,"Once again, the unintended consequences of the Internet may be heading for a big showdown before the Supreme Court.  This time, it's the war over file sharing and copyrights that the justices are being asked to review. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
2,"ATHENS, Greece -- American pole vaulter Timothy Mack pulled off a last-gasp clearance at an Olympic record height of 5.95 meters to take the title in Athens."
2,Notes and quotes from various drivers following California Speedway #39;s Pop Secret 500. Jeff Gordon slipped to second in points following an engine failure while Jimmie Johnson moved back into first.
1,Hundreds of thousands of priceless antique books were feared destroyed or badly damaged yesterday by a fire that swept through a 16th century German palace.
3,World oil prices rose on Thursday on worries about oil production shut by Hurricane Ivan and a new storm that could delay imports from entering the Gulf of Mexico.
4,Cheeky virus writers have put a secret message in the latest versions of the MyDoom e-mail worm asking antivirus vendors for a job.
3,"Shares of Google Inc. (GOOG.O: Quote, Profile, Research) fell as much as 6.5 percent on Tuesday, as selling restrictions were lifted on 39 million shares held by employees and early"
2,CBC SPORTS ONLINE - Free-agent outfielder Ricky Ledee decided Monday to accept a two-year contract offer from the Los Angeles Dodgers.
3,"Following a policy of trust-but-verify, Rupert Murdoch said Tuesday that he wants formal assurance that Liberty Media Chairman John Malone won #39;t make a run at his News Corp."
4,"JBoss has released a new version of its open-source business process management application, called  quot;jBPM. quot; It is the latest evidence that the open-source provider is serious about pushing "
1,"AP - Democratic presidential candidate John Kerry argues that ""over a million more Americans would lose their health insurance coverage"" under President Bush in a television ad the Democrat's campaign rolled out Tuesday."
2,Andre Miller scores 29 points as the Nuggets sprint to a 115-102 victory over the Orlando Magic on Monday night.
1,NEW YORK - Actor Michael J. Fox is returning to TV - in a commercial praising Democratic presidential candidate John Kerry for his stance on stem cell research...
1,"The world #39;s wealthier nations must contribute more money and intellectual power to fighting bird flu or risk a worldwide epidemic that spreads to people, a Vietnam-based official from the World Health Organization (WHO) warned Wednesday."
3,Bank of America Corp. confirmed yesterday it will locate its wealth management division in Boston and said it will move about 100 high-level jobs here.
3,"Allied Domecq Plc, the world #39;s second- largest liquor maker, said fiscal 2004 earnings rose on US demand for spirits including Malibu rum."
3,"British house prices have risen by more than any other developed country #39;s over the past 30 years, and are more at risk of crashing than anywhere else, the International Monetary Fund warned yesterday."
2,"BERKELEY, Calif. -- J.J. Arrington ran for 177 yards and three touchdowns, and Aaron Rodgers completed 20 of 26 passes for 260 yards and two scores in No. 12 California's 41-14 victory over New Mexico State last night."
1,The search continues for the body of a British man who was beheaded after an escape bid. BAGHDAD -- Shiite militia loyal to anti-American cleric Muqtada al-Sadr agreed yesterday to begin handing in weapons 
2,Michael Clarke smashed a superb debut century to help Australia into a formidable position on the second day of the opening Test against India in Bangalore.
1,Reuters - Vice President Dick Cheney\said on Friday he had no confidence in Democratic challenger\John Kerry's ability to fight the war on terror.
3,"Martha Stewart may soon head to prison, but that likely won #39;t free her namesake company of its troubles, investors and analysts say."
2,"The Miami Dolphins have agreed to trade defensive end Adewale Ogunleye to the Chicago Bears for wide receiver Marty Booker and a 2005 third-round pick, if agent Drew Rosenhaus can work out a new contract for Ogunleye by 7 pm Saturday, according to a"
2,"Jared Zabransky threw a 44-yard touchdown pass to TJ Acree with 3:42 remaining and No. 21 Boise State held on, extending the nation #39;s longest winning streak with a 28-27 victory over Brigham Young on Friday night."
3,"General Motors Corp. (GM.N: Quote, Profile, Research) said on Friday it may not dump Stelco Inc. (STEa.TO: Quote, Profile, Research) as a supplier even though Canada #39;s"
2,"Australia were on the verge of wrapping up a 2-0 win in the series when New Zealand, chasing 464 for victory, reached lunch at 243 for nine on the fifth day of the second and final test on Tuesday."
3,"NEW YORK -- Given that its chairman owns a large stake of a video-game company, media giant Viacom Inc. has appointed a three-person committee to evaluate dealings in the video-game arena and protect against potential conflicts of interest."
4,"A new variant of the MyDoom worm that exploits an unpatched flaw in Microsoft Corp.'s Internet Explorer (IE) browser is in the wild and posing particular risk to home and small business users, security experts warned this week."
1,"Detainees who've been released, only to join up again with anti-U.S. forces"
2,Shakhtar Donetsk #39;s Nigerian striker Julius Aghahowa will miss next week #39;s Champions League match against Barcelona with a knee injury.
4,MFORMA Group and Marvel Enterprises announced that the companies will bring content based on Marvel #39;s brands to mobile phone users.
4,"As anticipated, Microsoft today released five security bulletins rated  quot;important. quot; All five fix vulnerabilities in Windows that could have been exploited by attackers to "
1,"Mark Thatcher was preparing to flee South Africa when he was arrested over his alleged involvement in a botched coup attempt, police in Cape Town alleged Thursday."
2,ATHENS (Reuters) - Iraq's fairytale Olympic run continued  on Sunday when they beat Costa Rica 2-0 to reach the  quarter-finals of the Athens Games.
2,Reigning world champion Tom Pappas suffered from a crisis in confidence Monday as he faded from the medal picture in a tough first day of the Olympic decathlon.
4,Microsoft says its Windows Server 2003 Compute Cluster Edition will not run on servers equipped with Intel #39;s latest Itanium 2 processor.
3,Biopharmaceutical company ImClone Systems Inc. said Thursday that it swung to a profit in the third-quarter from a year-ago loss due to sales of colorectal cancer drug Erbitux.
3,"ATI saw its income almost triple during its most recently completed fiscal quarter, Q4 2004, the company said yesterday after announcing record results."
1,"AP - A congressional candidate's antebellum home burned down early Friday, and he broke his knee jumping from the second floor."
1," ABUJA (Reuters) - Sudan blamed the United States for the  failure of three weeks of peace talks between Khartoum and  Darfur rebels Friday, but African Union mediators said  negotiations would resume in October."
4,"NASA #39;s high hopes for a clean reading of the Sun #39;s atomic signature seemed dead Wednesday after the 450-pound Genesis spacecraft came tumbling down in Utah, where it landed with a terrible thud."
4,"The San Antonio resident set up the Web site, did a little research and recently launched his Internet service that allows registered users to shoot actual .22 rifles at paper targets via their computer."
3,"Lazard Ltd., the international investment bank, late Friday, Dec. 17, filed an initial prospectus with the Securities and Exchange Commission for an \$850 million IPO."
1,The arrest in south China of a Hong Kong pro-democracy politician for hiring a prostitute has eroded support for his party and hurt its chance of victory in the city #39;s legislative elections next month.
4,"Within days of the release of the security bulletin, there was proof of concept code available on the web. As the exploit was analyzed by various security groups, it was found that it was similar "
4,Dutch authorities have charged two teenagers with cyber crimes on suspicion of bringing down government Web sites last month by flooding them with traffic.
1," GAZA (Reuters) - Palestinian gunmen freed a top security  official on Thursday hours after abducting him in the Gaza  Strip in a fresh challenge to President Yasser Arafat's rule  amid a wave of unrest, witnesses said."
2,"ATHENS (Reuters) - World 200 meters champion John Capel did  not run on the United States 4x100 meters relay team in  Friday's Olympic semi-finals because of a positive test for  marijuana, U.S. head men's coach George Williams said on  Saturday."
2,"Kenseth finished 0.119 seconds ahead of runner-up Kyle Busch for his third victory of the season and 17th of his Busch career. At the 100-lap mark, Atlanta area native Reed Sorenson"
4,Latest line of keyboards and mice include some with fingerprint readers for added security.
4,"Broadband-for-business provider goes Hollywood, with the City by the Bay next in line."
2,"AP - Junior guard J.J. Sullinger has been disciplined for being charged with drunken driving but there are no plans to suspend him, Ohio State coach Thad Matta said Friday."
4,Opera Software and SlipStream Data announced the integration of the Opera browser with SlipStream #39;s web and email acceleration technology.
2,"When it happens, somehow it will change. It will change by making the remainder of the season more meaningful, extending the dreams of a BCS bowl bid, which is what it's all about at the highest level of college football."
1,"Top government ministers from 21 Pacific Rim nations convened high-level talks on free trade and global security Wednesday, while police battled university students protesting the summit and a weekend visit by President Bush."
4,"In response to a gloomy assessment of the state of the nation's coastal waters, President Bush ordered the creation of a new federal panel to coordinate oceanic policy."
2,AFP - Allen Iverson was ejected from the bench in the second quarter before his Philadelphia 76ers teammates rallied for a 108-103 victory over Toronto in a National Basketball Association preseason game.
1,"CAIRO, Egypt -- A string of explosions Thursday rocked the Sinai Peninsula in Egypt, where Israelis have been celebrating the end of a Jewish holiday."
2,"National Hockey League Commissioner Gary Bettman has locked the players out, but he isnt speculating on how far he is going to throw the key."
2,"At his weekly press conference Monday, Joe Gibbs was still upset about a technical glitch that left him unable to talk to his quarterback or hear from his assistant coaches in the third quarter of Sunday's loss."
2," ALICANTE, Spain (Reuters) - Spain number one Carlos Moya  will start off against Paul-Henri Mathieu of France as he bids  to lead his country to their third Davis Cup final in five  years this weekend."
4,The vendor brings its E-Business Suite to North America to go against Microsoft #39;s ERP software. By Laurie Sullivan. With the first phase of the high-profile PeopleSoft Inc.
2,"NASHVILLE, United States (AFP) - Trent Green tossed a touchdown to Eddie Kennison with 32 seconds left as Kansas City came from behind to defeat Tennessee 49-38 in a game featuring more than 900 yards of total offence."
4,"EA #39;s newest version of top title sells 1.3 million copies in first week, holding off competition. LOS ANGELES (Reuters) -  quot;Madden NFL 2005, quot; the latest version of Electronic Arts Inc."
3,"SAN FRANCISCO/NEW YORK (Reuters) - Intel Corp. on Thursday  said President Paul Otellini, a marketing expert, would replace  Craig Barrett as chief executive, at a time when the No. 1  microchip maker looks for markets beyond personal computers and  for new technologies to speed up PCs."
1,"US President George W. Bush on Thursday defended his decision to go to war against the  quot;unique threat quot; of Iraq, despite an official US report that Baghdad did not have weapons of mass destruction, as a Shiite militia pledged to disarm."
2,"AP - Both quarterbacks have strong arms, quick feet and plenty of wins on their resumes. One other thing Donovan McNabb and Daunte Culpepper have in common: They're the only two of the five heralded quarterbacks selected in the first round of the 1999 draft still in the NFL."
2,"The narrative of homegrown athletes triumphing over foreign opponents resonates with Russian sports fans, reaffirming their conviction that their country #39;s athletes are no worse, and in many cases even better, than athletes abroad."
1," VIENNA (Reuters) - The removal of Iraq's mothballed nuclear  facilities took around one year and was carried out by experts  with heavy machinery and demolition equipment, diplomats close  to the U.N. said on Thursday."
4,"MANHASSET, NY - Sun Microsystems has reached an out-of-court settlement with Eastman Kodak Co. in a two-year patent dispute over its Java programming language, agreeing to pay the imaging products company "
4,"BERLIN (Reuters) - Rival technologies that baffle consumers  will run more companies out of business in the nascent music  download market than will head-to-head competition, one of the  lead creators of MP3 playback technology warned on Wednesday."
2,"There is too much of the one-sided version of the story going around, especially in Boston, now that Pedro Martnez has said he is on his way to Shea Stadium."
2,"The stats were ugly: One offensive touchdown, 1-for-11 on third down, three sacks, fewer than 150 yards passing, and no consistency."
4,"DSSELDORF, GERMANY - Careful -- some mobile phone tunes could be hazardous to your health."
3,AFP - The European Commission said it had adopted a plan to adapt eurozone rules intended to control budget deficits in order to improve the way they work and their credibility.
1,Two lifts at the world's tallest building in Taipei have been declared the fastest on the planet.
1,"AP - Shanghai's economy grew at a blistering 14.7 percent in the first seven months of the year, seemingly defying efforts to cool off China's economy amid fears of overheating."
4,"Seoul, South Korea-based Samsung Electronics Co. Ltd. has begun shipping a 512Mbit GDDR2 memory device, one it claims is the most advanced graphics double-data-rate synchronous DRAM available."
2,"Tucson, AZ (Sports Network) - Mustafa Shakur led three Arizona players who scored at least 20 points as the 10th-ranked Wildcats opened their 2004-05 season with an 80-69 victory over San Diego at the McKale Center in the first round of the Preseason NIT."
2,"Italian Formula One driver Jarno Trulli will drive for Toyota #39;s Formula One team next year. Toyota said Trulli, who was released by Renault this week, signed a two-year deal and will be paired with Germany #39;s Ralf Schumacher next year."
3,"The Knowledge Learning Corporation has signed a deal to buy KinderCare Learning Centers, which operates preschool and child care centers, for \$550 million and the assumption of debt."
4,The US Bureau of Land Management said on Friday its preferred plan for the rim of the Roan Plateau in western Colorado is to defer oil and natural gas drilling until 80 percent of anticipated wells are drilled below the rim.
3,"Avon Products Inc. (AVP.N: Quote, Profile, Research) on Friday posted higher quarterly earnings as business in Latin America and Europe helped offset weakness in the United States for the direct seller of cosmetics."
2,The Indians got just what the doctor ordered Tuesday night -- an updated version of the 1960s TV show  quot;Ben Casey quot;. Ben Broussard hit a three-run homer to get Cleveland back in the game and Casey Blake singled
2,The Boston College men's basketball team could be without junior power forward Craig Smith and senior guard Jermaine Watson for Friday night's season-opener against the University of Maine at Conte Forum.
2,BOSTON Boston has scored twice in the seventh inning to take an 9-to-7 lead over the St. Louis Cardinals in the World Series opener at Fenway Park.
1,"London, Oct. 16: Prince Harry was cleared yesterday of cheating in his art A-level by the examination board that set and marked his papers."
4,Millions of tons of sediment-heavy water are being sent through the Grand Canyon in a bid to help local wildlife.
1,"A former US Marine in Iraq, testifying Wednesday at a hearing for an American military deserter seeking asylum in Canada, said several men "
4,"The rapid growth in online game playing will put pressure on broadband networks to evolve, according to research published this week by Sandvine."
3,"Norilsk Nickel shook up the gold world Monday, backing a hostile takeover bid by one South African company for another that could give it a stake in the world #39;s largest producer of the precious metal."
2,#NAME?
4,"Reuters - U.S. Internet job search company\Monster Worldwide Inc.  could enter the Japanese market\next year as strength in its European businesses allows it to\look further afield, the company's founder said on Monday."
1,The Iraqi government said it would release one of the female prisoners whose freedom is being demanded by Islamic militant kidnappers who are threatening to kill a third Western hostage.
3,"Like a runner who slows down before the finish line, the US economy may be losing momentum as it approaches the November election."
2,"This story was reported by freelance writer Brian Boyd and staff writers Wil Cruz, Robert Kahn, Erik Holm and Dan Janison. At the Newsroom bar on Gerard Street in the Bronx, one block from Yankee Stadium, owner "
4,Controversial plan could force file swappers to face criminal charges.
3,"THE UK is the 11th most competitive economy in the world, according to the World Economic Forums rankings. Finland topped the rankings as the most competitive economy, for the third time in the last four years."
4,America Online and WebEx Communications are evaluating ways to adapt some of the online meeting services they currently offer to business users of AOL #39;s AIM instant messaging network to make these services appealing to other AIM consumers.
1,"Abu Musab al-Zarqawi #39;s Tawhid wal- Jihad group has declared its allegiance to the al-Qaeda terrorist network, according to a statement posted on an Islamist Web site."
2,"At the very moment when the Red Sox desperately need someone slightly larger than life to rally around, they suddenly have the man for the job: Thrilling Schilling."
3,"November light, sweet crude oil futures rose as much as 96 cents on the New York Mercantile Exchange to US\$54.60 a barrel, the highest price in 21 years of trading."
2,"AP - Lee Westwood strolled to his car with his chest out, head high and a big smile."
3,"Switzerland #39;s struggling national airline reported a second-quarter profit of 45 million Swiss francs (\$35.6 million) Tuesday, although its figures were boosted by a legal settlement in France."
3,"Reuters - Shares of Air Canada  (AC.TO) fell by\more than half on Wednesday, after the Toronto Stock Exchange\said it was reviewing the company's stock to determine if it\meets listing requirements."
2,"NEW YORK (Reuters) - Johan Santana pitched seven strong  innings to win his fifth straight start and Shannon Stewart  homered, had three hits and two RBI to lead the Minnesota Twins  to a 7-2 home win over the New York Yankees."
1,"In an Internet posting, a Chechen warlord with a \$10 million bounty on his head has apparently claimed responsibility for the Beslan school siege"
1,"SEOUL - President Roh Moo Hyun made a surprise visit Wednesday to South Korean troops stationed in northern Iraq, the Blue House presidential office announced."
1,"Pakistani President Pervez Musharraf has called for radical new thinking on the dispute with India on Kashmir, suggesting joint rule as one option."
1,"MOSCOW - A woman strapped with explosives blew herself up outside a busy Moscow subway station Tuesday night, killing at least 10 people and wounding more than 50 in the second terrorist attack to hit Russia in a week, officials said.    Seven days earlier, almost to the hour, two Russian jetliners crashed within minutes of each other in what officials determined were terrorist bombings..."
2,"SPORTS NETWORK - Former Miami Dolphins running back Ricky Williams on Friday was ordered by an arbitrator to pay a huge sum of money to the NFL team, which filed a grievance against the star prior to training camp."
1,US forces renewed their assault yesterday on Mehdi Army positions in and around Najaf #39;s old city with an early morning bombing raid and an advance which brought tanks at some points
3,"Shares in Telecom Italia SpA were suspended from trading for two days on Monday, ahead of an expected buyout attempt by the company of its mobile unit Telecom Italia Mobile SpA, or TIM."
1,"BRUSSELS, Dec 13 (AFP) - Cyprus wants Turkey to demonstrate willingness to normalize its relations with the Cypriot government before an EU summit next March, Cypriot Foreign Minister George Iacovou said Monday."
3,"Gold, benefiting from a weak dollar, peaked at \$444.60 an ounce in Europe on Wednesday, and traders said the metal could rise higher still."
2,"It was splashed on the front page of Greece #39;s mass-circulation To Vima, a left-leaning daily newspaper:  quot;Muslim blessing for the Athens Games."
1,"Recruiters working for U.S. contractors are hiring former Colombian soldiers - and luring away active-duty ones - for security jobs in Iraq, according to a former army officer who met with the recruiters."
1,Reuters - A Serb general accused of\sniping and shelling against the civilian population of\Sarajevo during the 1992-95 Bosnian war arrived in The Hague on\Friday to face charges of crimes against humanity.
